Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,-34.217,9.038,-0.0,-32.499,4.66,-0.0,-28.783,7.94,-0.0
2,3_point_circle_2,-18.556,-4.624,-0.0,-20.792,-8.085,-0.0,-16.178,-9.895,-0.0
3,3_point_circle_3,15.128,6.491,-0.0,18.556,4.624,0.0,20.792,8.085,-0.0
4,3_point_circle_4,28.881,-6.63,0.0,32.212,-10.405,0.0,32.499,-4.66,0.0
